"SEM_ID","Material.System","Avg_Diameter_um","Pore_Area_Fraction","Particle_Area_Fraction","Aspect_Ratio_Avg","Circularity_Avg","Elongation_Avg","Agglomeration_Degree","Grain_Boundary_Density","Fractal_Dimension","H2.Uptake.wt.."
"SEM_171","MgVNiFeZn",9.16,0.4,0.6,1.62,1.1,0.36,0.6,0.24,1.87,2.36
"SEM_172","LaNi4Al",22.75,0.46,0.54,1.71,0.83,0.41,0.54,0.2,1.84,1.2
"SEM_173","Mg7.8Ni2.2Gd",6.3,0.25,0.75,1.55,1.59,0.36,0.75,0.31,1.88,5.9
"SEM_175","LaNi4Co0.5Mn0.5",8.9,0.42,0.58,1.58,1.4,0.4,0.58,0.21,1.75,1.36
"SEM_176","Ti₀.₈Zr₀.₂₂Mn₁.₂₂Cr₀.₅₃VFe₀.₂₅",10.81,0.26,0.75,2.16,1.65,0.52,0.75,0.27,1.9,2.06
"SEM_177","Ti₀.₈Zr₀.₂₂Mn₁.₂₂Cr₀.₅₃VFe₀.₂₅",6.95,0.25,0.75,2.13,1.22,0.48,0.75,0.29,1.87,2.06
"SEM_178","MgH2FeNi2S4",10.41,0.3,0.7,1.74,2.11,0.43,0.7,0.29,1.85,1.92
"SEM_179","MgH₂FeNi₂S₄",5.99,0.53,0.47,1.52,0.92,0.46,0.47,0.31,1.81,6.09
"SEM_180","Mg₂Ni ",298.49,0,1,1.53,0.76,0.35,1,0.19,1.84,0.3
"SEM_181","Mg₂Ni ",246.4,0,1,1.36,0.77,0.27,1,0.18,1.73,3.6
"SEM_182","Mg₂Ni",258.4,0.01,0.99,2.8,0.51,0.64,0.99,0.23,1.79,3.6
"SEM_183","N-G-Ca",7.09,0.36,0.64,2.53,1.36,0.44,0.64,0.21,1.77,1.8
"SEM_184","O-G-Ca",9.87,0.48,0.52,1.44,1.2,0.27,0.52,0.23,1.88,2.1
"SEM_185","PGCa",151.53,0.06,0.94,1.36,0.44,0.27,0.94,0.17,1.9,1.5
"SEM_186","SiNi",7.28,0.07,0.93,1.53,2.01,0.38,0.93,0.31,1.84,0.81
"SEM_187","Si",5.49,0.78,0.22,2.54,2.18,0.46,0.22,0.14,1.73,0.2
"SEM_188","Si ",3.84,0.38,0.62,1.64,1.65,0.38,0.62,0.13,1.82,0.32
"SEM_189","CarbonRC1000 ",2.77,0.55,0.45,1.5,1.7,0.42,0.45,0.13,1.84,3.3
"SEM_190","CarbonRC1000",4.58,0.61,0.39,1.88,1.72,0.42,0.39,0.2,1.81,2.5
"SEM_191","CarbonRC2000",10.46,0.33,0.67,1.53,1.07,0.42,0.67,0.25,1.76,1.49
"SEM_192","Mg ",7.22,0.22,0.78,1.72,1.27,0.39,0.78,0.24,1.84,1.49
"SEM_193","Mg ",244.82,0.01,0.99,1.05,0.77,0.05,0.99,0.14,1.83,4.42
"SEM_194","Mg ",16.62,0.5,0.5,2.35,1.8,0.39,0.5,0.09,1.78,6.98
"SEM_195","Mg ",13.19,0.53,0.47,4.58,2.69,0.59,0.47,0.12,1.8,5.5
"SEM_196","Ce₅Mg₈₅Ni₁₀ ",218.24,0,1,1.34,0.78,0.25,1,0.19,1.75,5.5
"SEM_197","Ti₁.₁Fe₀.₉Ni₀.₁ ",15.56,0.41,0.59,1.88,0.94,0.41,0.59,0.22,1.78,0.065
"SEM_198","Ti₁.₁Fe₀.₉Ni₀.₁",6.93,0.57,0.43,1.96,1.99,0.45,0.43,0.24,1.76,0.26
"SEM_199","Ti₁.₁Fe₀.₉Ni₀.₁ + 7.5 wt% Ni ",7.78,0.4,0.6,1.75,2.73,0.42,0.6,0.24,1.75,0.99
"SEM_200","Ti₁.₀₉Mg₀.₀₁Fe₀.₉Ni₀.₁ ",13.3,0.41,0.59,1.79,1.71,0.47,0.59,0.24,1.78,0.41
"SEM_201","Ti₁.₀₉Mg₀.₀₁Fe₀.₉Ni₀.₁Ni ",10.48,0.44,0.56,1.71,1.83,0.45,0.56,0.27,1.77,1.06
"SEM_202","TiFe ",59.99,0.35,0.65,2.7,0.42,0.5,0.65,0.11,1.69,1.4
"SEM_203","TiFe1xMnxMn",7.9,0.44,0.56,2.03,1.5,0.53,0.56,0.22,1.78,1.9
"SEM_204","TiV0.9Mn1.1",10.53,0.8,0.2,4.37,3.21,0.64,0.2,0.01,1.58,1.9
"SEM_205","VOx-NTs",18.55,0.52,0.48,2.06,1.63,0.49,0.48,0.03,1.89,0.98
"SEM_206","MgCeNiAl",4.4,0.57,0.43,1.66,1.57,0.42,0.43,0.27,1.89,1.7
"SEM_207","Er2Ti2O7 ",5.67,0.85,0.15,3,1.36,0.57,0.15,0.13,1.51,1.27
"SEM_208","MgH2NiO/C",8.2,0.57,0.43,1.97,1.16,0.44,0.43,0.11,1.76,6.21
"SEM_209","Mg/5%Ti ",10.7,0.11,0.89,1.3,4.46,0.52,0.89,0.16,1.82,5.2
"SEM_210","LaNi4.5Al0.5 ",5.27,0.99,0.01,28.12,1.09,0.23,0.01,0.01,0.82,1.19
"SEM_211","LaNi2.5Co2.4Al0.1 ",11.14,0.46,0.54,1.6,1.73,0.38,0.54,0.19,1.84,1.12
"SEM_212","LaMmNi3.5Co0.7Al0.35Mn0.4Zr0.05",12.26,0.05,0.95,1.45,0.93,0.38,0.95,0.07,1.82,1.12
"SEM_213","MmNi4.3Al0.2Mn0.5 ",30.2,0.05,0.95,1.95,5.31,0.31,0.95,0.12,1.77,1.12
"SEM_214","LaNi4.5Al0.5 ",7.66,0.59,0.41,1.74,1.38,0.42,0.41,0.24,1.81,1.19
"SEM_215","LaNi2.5Co2.4Al0.1 ",13.95,0.34,0.66,1.34,0.41,0.34,0.66,0.15,1.8,1.12
"SEM_216","LaNi2.5Co2.4Al0.1",3.67,0.7,0.3,1.76,1.21,0.45,0.3,0.23,1.75,1.12
"SEM_217","LaNi5 ",7.99,0.47,0.53,1.73,0.73,0.48,0.53,0.12,1.79,1.3
"SEM_218","TiFeZr ",8.31,0.48,0.52,1.66,0.87,0.37,0.52,0.22,1.84,1.86
"SEM_219","TiFeZr ",11.24,0.36,0.64,1.68,0.73,0.39,0.64,0.23,1.81,1.86
"SEM_220","TiFeZr",4.8,0.62,0.38,1.65,1.36,0.42,0.38,0.27,1.74,1.86
"SEM_221","TiFeZr ",5.05,0.51,0.49,1.84,1.45,0.49,0.49,0.29,1.79,1.2
"SEM_222","MmNi4.2Al0.8",11.93,0.14,0.86,2.19,0.47,0.44,0.86,0.15,1.8,2.12
"SEM_223","GaN",8.32,0.57,0.43,1.89,1.04,0.45,0.43,0.22,1.85,4.95
"SEM_224","MgH2NiKNbO4",14,0.57,0.43,1.9,1.74,0.41,0.43,0.16,1.81,3.25
"SEM_225","Mg2Ni ",24.98,0.55,0.45,2.05,0.71,0.45,0.45,0.12,1.79,2.5
